Linked article,Linked article,Day,Sales quantity,Sales value gross,Sales value net,,
381904,Dark Chocolate Digestives,28/03/2023,"23,447","13,833.55 GBP","11,527.96 GBP",,
381904,Dark Chocolate Digestives,29/03/2023,"23,091","13,623.21 GBP","11,352.68 GBP",,
381904,Dark Chocolate Digestives,30/03/2023,"26,118","15,409.44 GBP","12,841.20 GBP",,
381904,Dark Chocolate Digestives,31/03/2023,"29,578","17,451.02 GBP","14,542.52 GBP",,
381904,Dark Chocolate Digestives,01/04/2023,"30,447","17,963.10 GBP","14,969.25 GBP",,
381904,Dark Chocolate Digestives,02/04/2023,"16,365","9,655.35 GBP","8,046.13 GBP",,
381904,Dark Chocolate Digestives,03/04/2023,"25,206","14,871.54 GBP","12,392.95 GBP",,
381904,Dark Chocolate Digestives,04/04/2023,"23,129","13,645.87 GBP","11,371.56 GBP",,
381904,Dark Chocolate Digestives,05/04/2023,"23,519","15,286.91 GBP","12,739.09 GBP",,
381904,Dark Chocolate Digestives,06/04/2023,"29,889","19,427.53 GBP","16,189.61 GBP",,
381904,Dark Chocolate Digestives,07/04/2023,"24,336","15,818.10 GBP","13,181.75 GBP",,
381904,Dark Chocolate Digestives,08/04/2023,"22,611","14,696.85 GBP","12,247.38 GBP",,
381904,Dark Chocolate Digestives,09/04/2023,970,630.50 GBP,525.42 GBP,,
381904,Dark Chocolate Digestives,10/04/2023,"17,819","11,582.05 GBP","9,651.71 GBP",,
381904,Dark Chocolate Digestives,11/04/2023,"21,836","14,192.84 GBP","11,827.37 GBP",,
381904,Dark Chocolate Digestives,12/04/2023,"19,723","12,819.71 GBP","10,683.09 GBP",,
381904,Dark Chocolate Digestives,13/04/2023,"22,566","14,667.57 GBP","12,222.97 GBP",,
381904,Dark Chocolate Digestives,14/04/2023,"24,897","16,182.13 GBP","13,485.11 GBP",,
381904,Dark Chocolate Digestives,15/04/2023,"21,497","13,972.07 GBP","11,643.39 GBP",,
381904,Dark Chocolate Digestives,16/04/2023,"12,516","8,134.63 GBP","6,778.86 GBP",,
381904,Dark Chocolate Digestives,17/04/2023,"17,467","11,352.99 GBP","9,460.82 GBP",,
381904,Dark Chocolate Digestives,18/04/2023,"15,323","9,959.65 GBP","8,299.71 GBP",,
381904,Dark Chocolate Digestives,19/04/2023,"14,832","9,640.26 GBP","8,033.55 GBP",,
381904,Dark Chocolate Digestives,20/04/2023,"16,904","10,987.16 GBP","9,155.97 GBP",,
381904,Dark Chocolate Digestives,21/04/2023,"22,698","14,753.52 GBP","12,294.60 GBP",,
381904,Dark Chocolate Digestives,22/04/2023,"21,510","13,981.50 GBP","11,651.25 GBP",,
381904,Dark Chocolate Digestives,23/04/2023,"13,335","8,667.55 GBP","7,222.96 GBP",,
381904,Dark Chocolate Digestives,24/04/2023,"19,229","12,498.85 GBP","10,415.71 GBP",,
381904,Dark Chocolate Digestives,25/04/2023,"17,134","11,136.78 GBP","9,280.65 GBP",,
381904,Dark Chocolate Digestives,26/04/2023,"17,809","11,575.85 GBP","9,646.54 GBP",,
381904,Dark Chocolate Digestives,27/04/2023,"21,403","13,911.42 GBP","11,592.85 GBP",,
381904,Dark Chocolate Digestives,28/04/2023,"22,730","14,774.50 GBP","12,312.08 GBP",,
381904,Dark Chocolate Digestives,29/04/2023,"21,670","14,085.12 GBP","11,737.60 GBP",,
381904,Dark Chocolate Digestives,30/04/2023,"11,798","7,668.71 GBP","6,390.59 GBP",,
381904,Dark Chocolate Digestives,01/05/2023,"16,759","10,893.15 GBP","9,077.63 GBP",,
381904,Dark Chocolate Digestives,02/05/2023,"17,832","11,590.35 GBP","9,658.63 GBP",,
381904,Dark Chocolate Digestives,03/05/2023,"14,688","10,131.79 GBP","8,443.16 GBP",,
381904,Dark Chocolate Digestives,04/05/2023,"17,639","12,170.71 GBP","10,142.26 GBP",,
381904,Dark Chocolate Digestives,05/05/2023,"24,253","16,734.29 GBP","13,945.24 GBP",,
381904,Dark Chocolate Digestives,06/05/2023,"18,160","12,530.32 GBP","10,441.93 GBP",,
381904,Dark Chocolate Digestives,07/05/2023,"10,378","7,160.78 GBP","5,967.32 GBP",,
381904,Dark Chocolate Digestives,08/05/2023,"16,365","11,291.85 GBP","9,409.88 GBP",,
381904,Dark Chocolate Digestives,09/05/2023,"18,874","13,023.06 GBP","10,852.55 GBP",,
381904,Dark Chocolate Digestives,10/05/2023,"17,338","11,963.22 GBP","9,969.35 GBP",,
381904,Dark Chocolate Digestives,11/05/2023,"19,549","13,488.60 GBP","11,240.50 GBP",,
381904,Dark Chocolate Digestives,12/05/2023,"22,417","15,467.73 GBP","12,889.78 GBP",,
381904,Dark Chocolate Digestives,13/05/2023,"22,303","15,388.86 GBP","12,824.05 GBP",,
381904,Dark Chocolate Digestives,14/05/2023,"12,611","8,701.59 GBP","7,251.33 GBP",,
381904,Dark Chocolate Digestives,15/05/2023,"19,658","13,564.02 GBP","11,303.35 GBP",,
381904,Dark Chocolate Digestives,16/05/2023,"17,960","12,392.40 GBP","10,327.00 GBP",,
381904,Dark Chocolate Digestives,17/05/2023,"16,479","11,370.51 GBP","9,475.42 GBP",,
381904,Dark Chocolate Digestives,18/05/2023,"19,631","13,545.25 GBP","11,287.71 GBP",,
381904,Dark Chocolate Digestives,19/05/2023,"22,964","15,845.12 GBP","13,204.27 GBP",,
381904,Dark Chocolate Digestives,20/05/2023,"24,731","17,063.98 GBP","14,219.98 GBP",,
381904,Dark Chocolate Digestives,21/05/2023,"15,401","10,626.69 GBP","8,855.58 GBP",,
381904,Dark Chocolate Digestives,22/05/2023,"25,209","17,394.00 GBP","14,495.00 GBP",,
381904,Dark Chocolate Digestives,23/05/2023,"20,510","14,151.69 GBP","11,793.08 GBP",,
381904,Dark Chocolate Digestives,24/05/2023,"18,806","12,976.14 GBP","10,813.45 GBP",,
381904,Dark Chocolate Digestives,25/05/2023,"23,264","16,052.16 GBP","13,376.80 GBP",,
381904,Dark Chocolate Digestives,26/05/2023,"27,387","18,896.82 GBP","15,747.35 GBP",,
381904,Dark Chocolate Digestives,27/05/2023,"23,182","15,996.00 GBP","13,330.00 GBP",,
381904,Dark Chocolate Digestives,28/05/2023,"12,540","9,400.84 GBP","7,834.03 GBP",,
381904,Dark Chocolate Digestives,29/05/2023,"17,058","12,787.50 GBP","10,656.25 GBP",,
381904,Dark Chocolate Digestives,30/05/2023,"21,975","16,475.42 GBP","13,729.52 GBP",,
381904,Dark Chocolate Digestives,31/05/2023,"21,246","15,934.14 GBP","13,278.45 GBP",,
381904,Dark Chocolate Digestives,01/06/2023,"22,675","17,005.75 GBP","14,171.46 GBP",,
381904,Dark Chocolate Digestives,02/06/2023,"24,363","18,272.25 GBP","15,226.88 GBP",,
381904,Dark Chocolate Digestives,03/06/2023,"21,802","16,350.55 GBP","13,625.46 GBP",,
381904,Dark Chocolate Digestives,04/06/2023,"13,914","10,435.44 GBP","8,696.20 GBP",,
381904,Dark Chocolate Digestives,05/06/2023,"21,896","16,421.84 GBP","13,684.87 GBP",,
381904,Dark Chocolate Digestives,06/06/2023,"19,590","14,692.44 GBP","12,243.70 GBP",,
381904,Dark Chocolate Digestives,07/06/2023,"18,434","13,825.27 GBP","11,521.06 GBP",,
381904,Dark Chocolate Digestives,08/06/2023,"21,506","16,129.09 GBP","13,440.91 GBP",,
381904,Dark Chocolate Digestives,09/06/2023,"23,643","17,732.02 GBP","14,776.68 GBP",,
381904,Dark Chocolate Digestives,10/06/2023,"20,178","15,132.66 GBP","12,610.55 GBP",,
381904,Dark Chocolate Digestives,11/06/2023,"12,480","9,359.46 GBP","7,799.55 GBP",,
381904,Dark Chocolate Digestives,12/06/2023,"17,778","13,333.50 GBP","11,111.25 GBP",,
381904,Dark Chocolate Digestives,13/06/2023,"14,323","10,742.25 GBP","8,951.88 GBP",,
381904,Dark Chocolate Digestives,14/06/2023,"15,179","11,384.25 GBP","9,486.88 GBP",,
381904,Dark Chocolate Digestives,15/06/2023,"18,199","13,649.19 GBP","11,374.33 GBP",,
381904,Dark Chocolate Digestives,16/06/2023,"20,618","15,463.50 GBP","12,886.25 GBP",,
381904,Dark Chocolate Digestives,17/06/2023,"20,521","15,390.52 GBP","12,825.43 GBP",,
381904,Dark Chocolate Digestives,18/06/2023,"11,418","8,563.00 GBP","7,135.83 GBP",,
381904,Dark Chocolate Digestives,19/06/2023,"17,867","13,398.31 GBP","11,165.26 GBP",,
381904,Dark Chocolate Digestives,20/06/2023,"16,600","12,449.77 GBP","10,374.81 GBP",,
381904,Dark Chocolate Digestives,21/06/2023,"15,404","11,552.54 GBP","9,627.12 GBP",,
381904,Dark Chocolate Digestives,22/06/2023,"17,290","12,967.21 GBP","10,806.01 GBP",,
381904,Dark Chocolate Digestives,23/06/2023,"21,343","16,005.84 GBP","13,338.20 GBP",,
381904,Dark Chocolate Digestives,24/06/2023,"18,436","13,826.16 GBP","11,521.80 GBP",,
381904,Dark Chocolate Digestives,25/06/2023,"11,111","8,332.65 GBP","6,943.88 GBP",,
381904,Dark Chocolate Digestives,26/06/2023,"18,685","14,012.38 GBP","11,676.98 GBP",,
381904,Dark Chocolate Digestives,27/06/2023,"16,812","12,609.00 GBP","10,507.50 GBP",,
381904,Dark Chocolate Digestives,28/06/2023,"16,348","12,261.00 GBP","10,217.50 GBP",,
381904,Dark Chocolate Digestives,29/06/2023,"19,057","14,292.06 GBP","11,910.05 GBP",,
381904,Dark Chocolate Digestives,30/06/2023,"23,258","17,442.20 GBP","14,535.17 GBP",,
381904,Dark Chocolate Digestives,01/07/2023,"21,535","16,151.02 GBP","13,459.18 GBP",,
381904,Dark Chocolate Digestives,02/07/2023,"13,689","10,266.52 GBP","8,555.43 GBP",,
381904,Dark Chocolate Digestives,03/07/2023,"20,552","15,413.54 GBP","12,844.62 GBP",,
381904,Dark Chocolate Digestives,04/07/2023,"17,518","13,137.66 GBP","10,948.05 GBP",,
381904,Dark Chocolate Digestives,05/07/2023,"17,320","12,990.00 GBP","10,825.00 GBP",,
381904,Dark Chocolate Digestives,06/07/2023,"19,747","14,809.18 GBP","12,340.98 GBP",,
381904,Dark Chocolate Digestives,07/07/2023,"20,926","15,694.24 GBP","13,078.53 GBP",,
381904,Dark Chocolate Digestives,08/07/2023,"20,698","15,522.62 GBP","12,935.52 GBP",,
381904,Dark Chocolate Digestives,09/07/2023,"13,001","9,750.75 GBP","8,125.63 GBP",,
381904,Dark Chocolate Digestives,10/07/2023,"20,129","15,096.75 GBP","12,580.63 GBP",,
381904,Dark Chocolate Digestives,11/07/2023,"18,000","13,500.00 GBP","11,250.00 GBP",,
381904,Dark Chocolate Digestives,12/07/2023,"18,267","13,699.72 GBP","11,416.43 GBP",,
381904,Dark Chocolate Digestives,13/07/2023,"20,143","15,105.78 GBP","12,588.15 GBP",,
381904,Dark Chocolate Digestives,14/07/2023,"24,008","18,004.97 GBP","15,004.14 GBP",,
381904,Dark Chocolate Digestives,15/07/2023,"23,480","17,609.62 GBP","14,674.68 GBP",,
381904,Dark Chocolate Digestives,16/07/2023,"14,297","10,722.37 GBP","8,935.31 GBP",,
381904,Dark Chocolate Digestives,17/07/2023,"21,124","15,842.16 GBP","13,201.80 GBP",,
381904,Dark Chocolate Digestives,18/07/2023,"18,536","13,902.00 GBP","11,585.00 GBP",,
381904,Dark Chocolate Digestives,19/07/2023,"17,997","13,497.75 GBP","11,248.13 GBP",,
381904,Dark Chocolate Digestives,20/07/2023,"22,019","16,513.87 GBP","13,761.56 GBP",,
381904,Dark Chocolate Digestives,21/07/2023,"24,036","18,026.77 GBP","15,022.31 GBP",,
381904,Dark Chocolate Digestives,22/07/2023,"23,415","17,560.87 GBP","14,634.06 GBP",,
381904,Dark Chocolate Digestives,23/07/2023,"14,263","10,696.87 GBP","8,914.06 GBP",,
381904,Dark Chocolate Digestives,24/07/2023,"21,584","16,186.93 GBP","13,489.11 GBP",,
381904,Dark Chocolate Digestives,25/07/2023,"18,615","13,960.79 GBP","11,633.99 GBP",,
381904,Dark Chocolate Digestives,26/07/2023,"17,517","13,137.14 GBP","10,947.62 GBP",,
381904,Dark Chocolate Digestives,27/07/2023,"21,786","16,338.32 GBP","13,615.27 GBP",,
381904,Dark Chocolate Digestives,28/07/2023,"23,051","17,287.66 GBP","14,406.38 GBP",,
381904,Dark Chocolate Digestives,29/07/2023,"21,573","16,179.52 GBP","13,482.93 GBP",,
381904,Dark Chocolate Digestives,30/07/2023,"13,924","10,442.77 GBP","8,702.31 GBP",,
381904,Dark Chocolate Digestives,31/07/2023,"21,945","16,458.75 GBP","13,715.63 GBP",,
381904,Dark Chocolate Digestives,01/08/2023,"18,757","14,067.06 GBP","11,722.55 GBP",,
381904,Dark Chocolate Digestives,02/08/2023,"18,043","13,531.41 GBP","11,276.18 GBP",,
381904,Dark Chocolate Digestives,03/08/2023,"20,896","15,672.00 GBP","13,060.00 GBP",,
381904,Dark Chocolate Digestives,04/08/2023,"22,904","17,177.77 GBP","14,314.81 GBP",,
381904,Dark Chocolate Digestives,05/08/2023,"22,686","17,014.04 GBP","14,178.37 GBP",,
381904,Dark Chocolate Digestives,06/08/2023,"13,189","9,891.75 GBP","8,243.13 GBP",,
381904,Dark Chocolate Digestives,07/08/2023,"20,077","15,057.75 GBP","12,548.13 GBP",,
381904,Dark Chocolate Digestives,08/08/2023,"18,193","13,644.52 GBP","11,370.43 GBP",,
381904,Dark Chocolate Digestives,09/08/2023,"16,891","12,668.25 GBP","10,556.88 GBP",,
381904,Dark Chocolate Digestives,10/08/2023,"18,019","13,513.45 GBP","11,261.21 GBP",,
381904,Dark Chocolate Digestives,11/08/2023,"21,760","16,319.31 GBP","13,599.43 GBP",,
381904,Dark Chocolate Digestives,12/08/2023,"20,290","15,217.27 GBP","12,681.06 GBP",,
381904,Dark Chocolate Digestives,13/08/2023,"12,982","9,735.93 GBP","8,113.28 GBP",,
381904,Dark Chocolate Digestives,14/08/2023,"20,097","15,072.52 GBP","12,560.43 GBP",,
381904,Dark Chocolate Digestives,15/08/2023,"17,057","12,792.52 GBP","10,660.43 GBP",,
381904,Dark Chocolate Digestives,16/08/2023,"15,874","11,905.27 GBP","9,921.06 GBP",,
381904,Dark Chocolate Digestives,17/08/2023,"19,086","14,314.27 GBP","11,928.56 GBP",,
381904,Dark Chocolate Digestives,18/08/2023,"22,683","17,012.02 GBP","14,176.68 GBP",,
381904,Dark Chocolate Digestives,19/08/2023,"19,609","14,706.52 GBP","12,255.43 GBP",,
381904,Dark Chocolate Digestives,20/08/2023,"11,411","8,558.25 GBP","7,131.88 GBP",,
381904,Dark Chocolate Digestives,21/08/2023,"19,667","14,749.87 GBP","12,291.56 GBP",,
381904,Dark Chocolate Digestives,22/08/2023,"16,795","12,596.25 GBP","10,496.88 GBP",,
381904,Dark Chocolate Digestives,23/08/2023,"16,487","12,364.92 GBP","10,304.10 GBP",,
381904,Dark Chocolate Digestives,24/08/2023,"19,296","14,472.00 GBP","12,060.00 GBP",,
381904,Dark Chocolate Digestives,25/08/2023,"22,888","17,165.77 GBP","14,304.81 GBP",,
381904,Dark Chocolate Digestives,26/08/2023,"20,353","15,264.75 GBP","12,720.63 GBP",,
381904,Dark Chocolate Digestives,27/08/2023,"12,073","9,054.52 GBP","7,545.43 GBP",,
381904,Dark Chocolate Digestives,28/08/2023,"15,929","11,946.75 GBP","9,955.63 GBP",,
381904,Dark Chocolate Digestives,29/08/2023,"19,860","14,894.54 GBP","12,412.12 GBP",,
381904,Dark Chocolate Digestives,30/08/2023,"17,523","13,141.64 GBP","10,951.37 GBP",,
381904,Dark Chocolate Digestives,31/08/2023,"21,356","16,016.77 GBP","13,347.31 GBP",,
381904,Dark Chocolate Digestives,01/09/2023,"23,185","17,388.52 GBP","14,490.43 GBP",,
381904,Dark Chocolate Digestives,02/09/2023,"21,123","15,842.02 GBP","13,201.68 GBP",,
381904,Dark Chocolate Digestives,03/09/2023,"12,815","9,611.25 GBP","8,009.38 GBP",,
381904,Dark Chocolate Digestives,04/09/2023,"17,681","13,260.75 GBP","11,050.63 GBP",,
381904,Dark Chocolate Digestives,05/09/2023,"15,432","11,573.86 GBP","9,644.88 GBP",,
381904,Dark Chocolate Digestives,06/09/2023,"14,455","10,841.25 GBP","9,034.38 GBP",,
381904,Dark Chocolate Digestives,07/09/2023,"16,926","12,694.50 GBP","10,578.75 GBP",,
381904,Dark Chocolate Digestives,08/09/2023,"18,943","14,207.25 GBP","11,839.38 GBP",,
381904,Dark Chocolate Digestives,09/09/2023,"16,812","12,608.43 GBP","10,507.03 GBP",,
381904,Dark Chocolate Digestives,10/09/2023,"12,267","9,200.25 GBP","7,666.88 GBP",,
381904,Dark Chocolate Digestives,11/09/2023,"17,627","13,220.25 GBP","11,016.88 GBP",,
381904,Dark Chocolate Digestives,12/09/2023,"15,739","11,804.25 GBP","9,836.88 GBP",,
381904,Dark Chocolate Digestives,13/09/2023,"15,260","11,444.39 GBP","9,536.99 GBP",,
381904,Dark Chocolate Digestives,14/09/2023,"18,338","13,753.50 GBP","11,461.25 GBP",,
381904,Dark Chocolate Digestives,15/09/2023,"20,802","15,600.99 GBP","13,000.83 GBP",,
381904,Dark Chocolate Digestives,16/09/2023,"20,829","15,621.75 GBP","13,018.13 GBP",,
381904,Dark Chocolate Digestives,17/09/2023,"14,245","10,683.37 GBP","8,902.81 GBP",,
381904,Dark Chocolate Digestives,18/09/2023,"19,476","14,606.05 GBP","12,171.71 GBP",,
381904,Dark Chocolate Digestives,19/09/2023,"17,360","13,018.36 GBP","10,848.63 GBP",,
381904,Dark Chocolate Digestives,20/09/2023,"16,475","12,355.79 GBP","10,296.49 GBP",,
381904,Dark Chocolate Digestives,21/09/2023,"20,055","15,040.18 GBP","12,533.48 GBP",,
381904,Dark Chocolate Digestives,22/09/2023,"22,744","17,057.43 GBP","14,214.53 GBP",,
381904,Dark Chocolate Digestives,23/09/2023,"21,721","16,290.52 GBP","13,575.43 GBP",,
381904,Dark Chocolate Digestives,24/09/2023,"14,538","10,903.27 GBP","9,086.06 GBP",,
381904,Dark Chocolate Digestives,25/09/2023,"19,387","14,540.25 GBP","12,116.88 GBP",,
381904,Dark Chocolate Digestives,26/09/2023,"17,854","13,389.93 GBP","11,158.28 GBP",,
381904,Dark Chocolate Digestives,27/09/2023,"17,046","12,784.04 GBP","10,653.37 GBP",,
381904,Dark Chocolate Digestives,28/09/2023,"20,612","15,458.77 GBP","12,882.31 GBP",,
381904,Dark Chocolate Digestives,29/09/2023,"23,277","17,457.29 GBP","14,547.74 GBP",,
381904,Dark Chocolate Digestives,30/09/2023,"22,894","17,170.12 GBP","14,308.43 GBP",,
381904,Dark Chocolate Digestives,01/10/2023,"15,417","11,562.75 GBP","9,635.63 GBP",,
381904,Dark Chocolate Digestives,02/10/2023,"20,211","15,158.25 GBP","12,631.88 GBP",,
381904,Dark Chocolate Digestives,03/10/2023,"17,663","13,247.25 GBP","11,039.38 GBP",,
381904,Dark Chocolate Digestives,04/10/2023,"17,010","12,757.27 GBP","10,631.06 GBP",,
381904,Dark Chocolate Digestives,05/10/2023,"20,362","15,271.30 GBP","12,726.08 GBP",,
381904,Dark Chocolate Digestives,06/10/2023,"22,777","17,082.52 GBP","14,235.43 GBP",,
381904,Dark Chocolate Digestives,07/10/2023,"21,477","16,107.06 GBP","13,422.55 GBP",,
381904,Dark Chocolate Digestives,08/10/2023,"13,925","10,443.75 GBP","8,703.13 GBP",,
381904,Dark Chocolate Digestives,09/10/2023,"19,462","14,596.50 GBP","12,163.75 GBP",,
381904,Dark Chocolate Digestives,10/10/2023,"17,124","12,843.00 GBP","10,702.50 GBP",,
381904,Dark Chocolate Digestives,11/10/2023,"17,170","12,877.27 GBP","10,731.06 GBP",,
381904,Dark Chocolate Digestives,12/10/2023,"20,257","15,192.52 GBP","12,660.43 GBP",,
381904,Dark Chocolate Digestives,13/10/2023,"23,094","17,320.50 GBP","14,433.75 GBP",,
381904,Dark Chocolate Digestives,14/10/2023,"23,100","17,323.93 GBP","14,436.61 GBP",,
381904,Dark Chocolate Digestives,15/10/2023,"14,384","10,787.43 GBP","8,989.53 GBP",,
381904,Dark Chocolate Digestives,16/10/2023,"21,252","15,939.00 GBP","13,282.50 GBP",,
381904,Dark Chocolate Digestives,17/10/2023,"18,324","13,742.62 GBP","11,452.18 GBP",,
381904,Dark Chocolate Digestives,18/10/2023,"17,558","13,168.50 GBP","10,973.75 GBP",,
381904,Dark Chocolate Digestives,19/10/2023,"20,805","15,603.52 GBP","13,002.93 GBP",,
381904,Dark Chocolate Digestives,20/10/2023,"22,103","16,576.64 GBP","13,813.87 GBP",,
381904,Dark Chocolate Digestives,21/10/2023,"23,770","17,827.27 GBP","14,856.06 GBP",,
381904,Dark Chocolate Digestives,22/10/2023,"14,096","10,571.77 GBP","8,809.81 GBP",,
381904,Dark Chocolate Digestives,23/10/2023,"19,740","14,804.43 GBP","12,337.03 GBP",,
381904,Dark Chocolate Digestives,24/10/2023,"16,585","12,438.75 GBP","10,365.63 GBP",,
381904,Dark Chocolate Digestives,25/10/2023,"16,088","12,065.77 GBP","10,054.81 GBP",,
381904,Dark Chocolate Digestives,26/10/2023,"20,629","15,471.75 GBP","12,893.13 GBP",,
381904,Dark Chocolate Digestives,27/10/2023,"24,171","18,128.25 GBP","15,106.88 GBP",,
381904,Dark Chocolate Digestives,28/10/2023,"22,561","16,920.75 GBP","14,100.63 GBP",,
381904,Dark Chocolate Digestives,29/10/2023,"14,953","11,214.69 GBP","9,345.58 GBP",,
381904,Dark Chocolate Digestives,30/10/2023,"21,163","15,872.25 GBP","13,226.88 GBP",,
381904,Dark Chocolate Digestives,31/10/2023,"18,703","14,027.02 GBP","11,689.18 GBP",,
381904,Dark Chocolate Digestives,01/11/2023,"18,459","14,154.93 GBP","11,795.78 GBP",,
381904,Dark Chocolate Digestives,02/11/2023,"19,533","14,973.70 GBP","12,478.08 GBP",,
381904,Dark Chocolate Digestives,03/11/2023,"23,753","18,213.68 GBP","15,178.07 GBP",,
381904,Dark Chocolate Digestives,04/11/2023,"22,765","17,455.30 GBP","14,546.08 GBP",,
381904,Dark Chocolate Digestives,05/11/2023,"15,231","11,678.17 GBP","9,731.81 GBP",,
381904,Dark Chocolate Digestives,06/11/2023,"19,858","15,225.46 GBP","12,687.88 GBP",,
381904,Dark Chocolate Digestives,07/11/2023,"17,954","13,765.61 GBP","11,471.34 GBP",,
381904,Dark Chocolate Digestives,08/11/2023,"17,253","13,228.10 GBP","11,023.42 GBP",,
381904,Dark Chocolate Digestives,09/11/2023,"20,070","15,387.48 GBP","12,822.90 GBP",,
381904,Dark Chocolate Digestives,10/11/2023,"23,303","17,863.01 GBP","14,885.84 GBP",,
381904,Dark Chocolate Digestives,11/11/2023,"22,517","17,263.37 GBP","14,386.14 GBP",,
381904,Dark Chocolate Digestives,12/11/2023,"14,850","11,386.97 GBP","9,489.14 GBP",,
381904,Dark Chocolate Digestives,13/11/2023,"20,073","15,390.02 GBP","12,825.02 GBP",,
381904,Dark Chocolate Digestives,14/11/2023,"18,073","13,853.36 GBP","11,544.47 GBP",,
381904,Dark Chocolate Digestives,15/11/2023,"17,681","13,555.07 GBP","11,295.89 GBP",,
381904,Dark Chocolate Digestives,16/11/2023,"20,961","16,067.59 GBP","13,389.66 GBP",,
381904,Dark Chocolate Digestives,17/11/2023,"23,305","17,866.80 GBP","14,889.00 GBP",,
381904,Dark Chocolate Digestives,18/11/2023,"22,986","17,624.78 GBP","14,687.32 GBP",,
381904,Dark Chocolate Digestives,19/11/2023,"14,778","11,329.40 GBP","9,441.17 GBP",,
381904,Dark Chocolate Digestives,20/11/2023,"20,298","15,559.28 GBP","12,966.07 GBP",,
381904,Dark Chocolate Digestives,21/11/2023,"18,092","13,869.32 GBP","11,557.77 GBP",,
381904,Dark Chocolate Digestives,22/11/2023,"17,569","13,468.12 GBP","11,223.43 GBP",,
381904,Dark Chocolate Digestives,23/11/2023,"20,293","15,553.63 GBP","12,961.36 GBP",,
381904,Dark Chocolate Digestives,24/11/2023,"23,772","18,224.90 GBP","15,187.42 GBP",,
381904,Dark Chocolate Digestives,25/11/2023,"22,910","17,564.74 GBP","14,637.28 GBP",,
381904,Dark Chocolate Digestives,26/11/2023,"15,387","11,797.92 GBP","9,831.60 GBP",,
381904,Dark Chocolate Digestives,27/11/2023,"21,179","16,236.09 GBP","13,530.07 GBP",,
381904,Dark Chocolate Digestives,28/11/2023,"19,367","14,849.87 GBP","12,374.89 GBP",,
381904,Dark Chocolate Digestives,29/11/2023,"18,180","13,940.74 GBP","11,617.28 GBP",,
381904,Dark Chocolate Digestives,30/11/2023,"22,060","16,915.21 GBP","14,096.01 GBP",,
381904,Dark Chocolate Digestives,01/12/2023,"23,579","18,079.67 GBP","15,066.39 GBP",,
381904,Dark Chocolate Digestives,02/12/2023,"22,639","17,357.31 GBP","14,464.42 GBP",,
381904,Dark Chocolate Digestives,03/12/2023,"15,196","11,652.48 GBP","9,710.40 GBP",,
381904,Dark Chocolate Digestives,04/12/2023,"21,328","16,352.78 GBP","13,627.32 GBP",,
381904,Dark Chocolate Digestives,05/12/2023,"18,585","14,253.16 GBP","11,877.63 GBP",,
381904,Dark Chocolate Digestives,06/12/2023,"17,407","13,346.43 GBP","11,122.03 GBP",,
381904,Dark Chocolate Digestives,07/12/2023,"19,873","15,238.21 GBP","12,698.51 GBP",,
381904,Dark Chocolate Digestives,08/12/2023,"23,469","17,994.55 GBP","14,995.46 GBP",,
381904,Dark Chocolate Digestives,09/12/2023,"21,113","16,190.31 GBP","13,491.93 GBP",,
381904,Dark Chocolate Digestives,10/12/2023,"14,052","10,773.86 GBP","8,978.22 GBP",,
381904,Dark Chocolate Digestives,11/12/2023,"19,605","15,029.92 GBP","12,524.93 GBP",,
381904,Dark Chocolate Digestives,12/12/2023,"16,273","12,475.23 GBP","10,396.03 GBP",,
381904,Dark Chocolate Digestives,13/12/2023,"15,526","11,901.98 GBP","9,918.32 GBP",,
381904,Dark Chocolate Digestives,14/12/2023,"19,671","15,084.37 GBP","12,570.31 GBP",,
381904,Dark Chocolate Digestives,15/12/2023,"21,684","16,625.69 GBP","13,854.74 GBP",,
381904,Dark Chocolate Digestives,16/12/2023,"20,325","15,583.31 GBP","12,986.09 GBP",,
381904,Dark Chocolate Digestives,17/12/2023,"12,998","9,967.15 GBP","8,305.96 GBP",,
381904,Dark Chocolate Digestives,18/12/2023,"19,942","15,291.40 GBP","12,742.83 GBP",,
381904,Dark Chocolate Digestives,19/12/2023,"18,019","13,815.69 GBP","11,513.08 GBP",,
381904,Dark Chocolate Digestives,20/12/2023,"18,406","14,115.05 GBP","11,762.54 GBP",,
381904,Dark Chocolate Digestives,21/12/2023,"22,106","16,949.03 GBP","14,124.19 GBP",,
381904,Dark Chocolate Digestives,22/12/2023,"24,240","18,614.27 GBP","15,511.89 GBP",,
381904,Dark Chocolate Digestives,23/12/2023,"17,388","13,388.65 GBP","11,157.21 GBP",,
381904,Dark Chocolate Digestives,24/12/2023,"5,962","4,590.16 GBP","3,825.13 GBP",,
381904,Dark Chocolate Digestives,27/12/2023,"7,426","5,718.02 GBP","4,765.02 GBP",,
381904,Dark Chocolate Digestives,28/12/2023,"9,152","7,045.98 GBP","5,871.65 GBP",,
381904,Dark Chocolate Digestives,29/12/2023,"11,624","8,950.48 GBP","7,458.73 GBP",,
381904,Dark Chocolate Digestives,30/12/2023,"11,091","8,540.07 GBP","7,116.73 GBP",,
381904,Dark Chocolate Digestives,31/12/2023,"6,817","5,248.85 GBP","4,374.04 GBP",,
381904,Dark Chocolate Digestives,02/01/2024,"12,351","9,510.03 GBP","7,925.03 GBP",,
381904,Dark Chocolate Digestives,03/01/2024,"12,275","9,451.75 GBP","7,876.46 GBP",,
