Linked article,Linked article,Day,Sales quantity,Sales value gross,Sales value net,,
381903,Milk Chocolate Digestives,07/03/2022,"41,545","20,353.40 GBP","16,961.17 GBP",,
381903,Milk Chocolate Digestives,08/03/2022,"33,277","16,302.72 GBP","13,585.60 GBP",,
381903,Milk Chocolate Digestives,09/03/2022,"35,597","17,440.22 GBP","14,533.52 GBP",,
381903,Milk Chocolate Digestives,10/03/2022,"44,844","21,970.31 GBP","18,308.59 GBP",,
381903,Milk Chocolate Digestives,11/03/2022,"62,839","30,788.72 GBP","25,657.27 GBP",,
381903,Milk Chocolate Digestives,12/03/2022,"61,164","29,966.39 GBP","24,971.99 GBP",,
381903,Milk Chocolate Digestives,13/03/2022,"43,199","21,164.93 GBP","17,637.44 GBP",,
381903,Milk Chocolate Digestives,14/03/2022,"52,898","25,916.78 GBP","21,597.32 GBP",,
381903,Milk Chocolate Digestives,15/03/2022,"45,261","22,176.19 GBP","18,480.16 GBP",,
381903,Milk Chocolate Digestives,16/03/2022,"42,221","20,686.52 GBP","17,238.77 GBP",,
381903,Milk Chocolate Digestives,17/03/2022,"49,030","24,023.01 GBP","20,019.18 GBP",,
381903,Milk Chocolate Digestives,18/03/2022,"56,546","27,704.64 GBP","23,087.20 GBP",,
381903,Milk Chocolate Digestives,19/03/2022,"57,230","28,040.98 GBP","23,367.48 GBP",,
381903,Milk Chocolate Digestives,20/03/2022,"40,726","19,954.19 GBP","16,628.49 GBP",,
381903,Milk Chocolate Digestives,21/03/2022,"55,048","26,970.25 GBP","22,475.21 GBP",,
381903,Milk Chocolate Digestives,22/03/2022,"43,551","21,337.40 GBP","17,781.17 GBP",,
381903,Milk Chocolate Digestives,23/03/2022,"42,272","20,710.11 GBP","17,258.43 GBP",,
381903,Milk Chocolate Digestives,24/03/2022,"47,790","23,415.03 GBP","19,512.52 GBP",,
381903,Milk Chocolate Digestives,25/03/2022,"60,496","29,640.45 GBP","24,700.37 GBP",,
381903,Milk Chocolate Digestives,26/03/2022,"56,264","27,566.01 GBP","22,971.68 GBP",,
381903,Milk Chocolate Digestives,27/03/2022,"30,439","14,913.56 GBP","12,427.97 GBP",,
381903,Milk Chocolate Digestives,28/03/2022,"52,762","25,850.79 GBP","21,542.33 GBP",,
